timestamp,target_x,target_z,actual_x,actual_z,joint1_angle,joint2_angle,joint3_angle,joint1_velocity,joint2_velocity,joint3_velocity,joint1_acceleration,joint2_acceleration,joint3_acceleration,joint1_torque,joint2_torque,joint3_torque,kp,kd,radius,center_x,center_z
1753813498.083768,0.25,0.30000000000000004,0.25139320667285825,0.28900382579936423,0.33855450132526677,1.417295316669771,0.8300053211879694,-0.03556613773132257,0.012682611440452352,0.011065942246500093,0.0,0.0,0.0,-5.70154020150908,-4.152850312764381,-0.6450129597557737,0.1,0.4,0.1,0.25,0.2
1753813498.092606,0.2497391489747637,0.29954819277108435,0.251248439073409,0.28885815848866553,0.33857591275645377,1.4183542015178041,0.8304841051877897,0.012260182390332774,0.0663754163206321,0.02815495316084221,0.0,0.0,0.0,-6.337754746854571,-4.435465830267693,-0.6699455293568712,0.1,0.4,0.1,0.25,0.2
1753813498.1017265,0.24947829794952744,0.2990963855421687,0.25099531643823175,0.2884277162860707,0.33890171097970057,1.4200364331243656,0.8312069294745753,0.017838600376541974,0.09107598186446644,0.03902568192261616,0.1338820316690208,0.5928135730520244,0.2608974902825747,-6.825457653068632,-4.793819569749712,-0.7485433424343029,0.1,0.4,0.1,0.25,0.2
1753813498.1105292,0.24921744692429118,0.2986445783132531,0.250700735243237,0.28794138910391254,0.3391979323144525,1.421863602711526,0.8320094993124035,0.01419161049288055,0.09305914206839555,0.04097833262698963,0.15345989979636324,1.1146602763879425,0.5164790994135979,-6.929496423486125,-4.891631888878497,-0.7730289910198205,0.1,0.4,0.1,0.25,0.2
1753813498.2076488,0.2489565958990549,0.2981927710843374,0.25040475648790445,0.2874709832627735,0.33945100273415546,1.423656424006374,0.8328135828391032,0.012451141004335184,0.09017259057039478,0.04048581668057652,0.053547663614183436,1.2811211603854171,0.6377793795452982,-6.904524808451208,-4.878912024084316,-0.7697130231572906,0.1,0.4,0.1,0.25,0.2
1753813498.2168012,0.24869574487381862,0.2977409638554217,0.25011364444657763,0.2870142092009486,0.3397082126274928,1.4253892017656546,0.8336405237100798,0.013253638784010091,0.0870858786861177,0.04214825725456112,-0.021145565357452434,1.1909026205779671,0.7097038653872476,-6.880228369163809,-4.857647381365765,-0.7628306956975909,0.1,0.4,0.1,0.25,0.2
1753813498.2257392,0.24843489384858233,0.29728915662650607,0.2498246162909054,0.28656070380007925,0.3399569768374812,1.42714259453127,0.8344133155030244,0.012451548631764495,0.08938984077283835,0.038063855956252085,-0.09281184220058547,0.8514162452048251,0.5411967475523939,-6.87261067411954,-4.847615839097511,-0.7582430549588359,0.1,0.4,0.1,0.25,0.2
1753813498.234674,0.24817404282334604,0.2968373493975904,0.24953559438076223,0.28610641396455855,0.3402281532909226,1.4288693531595829,0.8352172948805113,0.014177004053260153,0.0869236868688403,0.04137035965998048,-0.06333947627576066,0.5961682343911909,0.3992634226109445,-6.870739272116913,-4.844523740929517,-0.7551384945214531,0.1,0.4,0.1,0.25,0.2
1753813498.2434227,0.2479131917981098,0.29638554216867474,0.24924570716034605,0.2856519378526687,0.34054209730324625,1.4305165802947328,0.836132097145521,0.016475459799626044,0.08241650175627471,0.047686791950602075,0.05698756176822114,0.29823515173741894,0.5119629021262946,-6.872149649162528,-4.8393922832632015,-0.7520269556448058,0.1,0.4,0.1,0.25,0.2
1753813498.3415895,0.2476523407728735,0.29593373493975905,0.2489565862038446,0.2851971964616283,0.3407943523333701,1.4323073278962328,0.8368231457874186,0.011702119165252586,0.09327421505305353,0.03097574425555133,0.045560129347734644,0.3053744278049605,0.2662400127919683,-6.86990703748521,-4.834563610084507,-0.7488424607294255,0.1,0.4,0.1,0.25,0.2
1753813498.3504784,0.24739148974763722,0.2954819277108434,0.24866828975743388,0.28474237170198047,0.341089792248723,1.434022340266486,0.8376069397477575,0.016010029983628923,0.08495104106126403,0.042199728725241276,0.04386610325250461,0.29765475557550736,0.0720423399039655,-6.865598106757376,-4.834617313614699,-0.7458436741081412,0.1,0.4,0.1,0.25,0.2
1753813498.3597014,0.24713063872240096,0.2950301204819278,0.24837749544941767,0.28428781060859726,0.3415082098077829,1.4354928867389063,0.8387555507952726,0.022817207384274743,0.07133328833612265,0.06288674284311502,0.26657122341047923,-0.18183762687550534,0.6329176944672215,-6.870041617355256,-4.824198245406635,-0.7421404411916179,0.1,0.4,0.1,0.25,0.2
1753813498.3688636,0.24686978769716467,0.2945783132530121,0.24808654062742683,0.2838334585679873,0.34183650348869493,1.4371546550592365,0.8396138496624004,0.014790922085760425,0.08812315700542267,0.037397239932934645,0.31179429001583986,-0.3022159677838956,0.7081616489048527,-6.871390860526355,-4.816414237792894,-0.7389681694094772,0.1,0.4,0.1,0.25,0.2
1753813498.3776932,0.2466089366719284,0.2941265060240964,0.2478068423760411,0.2833803858533885,0.3414897379876796,1.4401936339658046,0.8383972681849037,-0.027330985502430447,0.1740052213868929,-0.09195279139888404,-0.8353694334144088,1.9971278897181028,-2.8243173851410104,-6.842518402225956,-4.831465943858653,-0.7370806335516711,0.1,0.4,0.1,0.25,0.2
1753813498.4735775,0.24634808564669214,0.29367469879518077,0.24752763611780504,0.28292717335962697,0.3414630448450895,1.442595867074946,0.8381186173661873,0.006641934435165947,0.10571982697768176,0.009464951769075386,-1.4802788597606789,3.290150979047848,-4.845533100457099,-6.8077959488071755,-4.8557071232297835,-0.735743199943216,0.1,0.4,0.1,0.25,0.2
