timestamp,target_x,target_z,actual_x,actual_z,joint1_angle,joint2_angle,joint3_angle,joint1_velocity,joint2_velocity,joint3_velocity,joint1_acceleration,joint2_acceleration,joint3_acceleration,joint1_torque,joint2_torque,joint3_torque,kp,kd,amplitude_A,center_x,center_z
1753800508.2120616,0.2,0.4,0.2167314429258742,0.38623709803352946,-0.105379844172365,1.437717962441215,0.8977960351146055,-0.9154442083531085,0.6935034189049117,0.26891641732520993,0.0,0.0,0.0,-3.970383893403677,-4.628157987062157,-0.9477719474997577,0.02,0.3,-0.1,0.2,0.3
1753800508.2197325,0.19937169800583238,0.3999980260856137,0.21611621186901,0.38629587335210136,-0.10917648946045842,1.4405745412395186,0.8989875095417083,-0.9111948691424212,0.6855789115928158,0.28595386250466837,0.0,0.0,0.0,-3.951561661110157,-4.62249858937553,-0.9477908329842765,0.02,0.3,-0.1,0.2,0.3
1753800508.2273085,0.1987434952278331,0.3999921044203816,0.21549937497892574,0.3863501777299914,-0.1129583034417366,1.443404084769457,0.900240702050261,-0.9076353555067638,0.679090447185197,0.300766202052645,0.08542832725577831,-0.1557231457828525,0.3554961491514401,-3.932906851057707,-4.617578379728015,-0.947853682599114,0.02,0.3,-0.1,0.2,0.3
1753800508.2350123,0.19811549086650326,0.3999822352380809,0.2148810310771911,0.38640007230799145,-0.11672865602094627,1.446213281513763,0.9015452697814024,-0.9048846190103202,0.6742072186334593,0.31309625547393394,0.21978866497504834,-0.39749914765084,0.9358143505835259,-3.916170749578677,-4.612641906672687,-0.9479473451161012,0.02,0.3,-0.1,0.2,0.3
1753800508.3370976,0.1974877840910115,0.39996841892833,0.2142612737603609,0.38644564716092517,-0.12049085292516429,1.449009064907557,0.902890166350294,-0.9029272570123251,0.6709880145106204,0.32277517653399096,0.36778340598862985,-0.6553389612463136,1.6125047281570586,-3.897854526361266,-4.606810455977333,-0.9480996444052101,0.02,0.3,-0.1,0.2,0.3
1753800508.3449485,0.19686047402353435,0.39995065603657315,0.21364024713961816,0.38648697500817386,-0.12425291027538969,1.4518063855316454,0.9042531165081765,-0.902893764054098,0.6713569497811956,0.3271080378918101,0.474227427258712,-0.8263671290585759,2.2161029699620145,-3.8925767810146166,-4.596919095931143,-0.9479832657841822,0.02,0.3,-0.1,0.2,0.3
1753800508.353389,0.19623365972360338,0.3999289472640589,0.2130180594059013,0.38652423374984585,-0.1280254250438298,1.4546251415621405,0.9056046820386001,-0.9054035444256292,0.6765014473188196,0.32437572730165976,0.40033848529560323,-0.6602037341721639,2.2435446771843273,-3.8918717337677773,-4.582837651745439,-0.9476077417314892,0.02,0.3,-0.1,0.2,0.3
1753800508.3618426,0.19560744017246284,0.39990329346781245,0.21239485705206734,0.38655760129804545,-0.13180920586095954,1.4574672953965429,0.9069410089623305,-0.9081073961111388,0.6821169202565842,0.3207184616953101,0.18931842938252386,-0.23796572845718122,1.8288339112580048,-3.8682451573069505,-4.580087470263911,-0.9477986954775562,0.02,0.3,-0.1,0.2,0.3
1753800508.3698435,0.19498191425743927,0.3998736956606017,0.2117707614764761,0.3865871100964807,-0.1355982625444157,1.4603225512935423,0.9082761898872853,-0.9093736040294823,0.6852614152798391,0.32044342198913756,-0.03610572063059578,0.2151474877017776,1.3112234963598968,-3.828058582442452,-4.584378561829611,-0.9480591178628599,0.02,0.3,-0.1,0.2,0.3
1753800508.4741423,0.1943571807563259,0.3998401550108975,0.21114585047101908,0.3866126496280421,-0.13939605157486448,1.4631977064134143,0.9095995428664199,-0.9114693673077077,0.6900372287693088,0.3176047149922823,-0.21977618515285868,0.5964446557037142,0.8503862981069865,-3.8105739433327144,-4.578503027849483,-0.9480515771371655,0.02,0.3,-0.1,0.2,0.3
1753800508.4822495,0.19373333832178477,0.39980267284282717,0.21052024862362279,0.3866342862869073,-0.14320442032059413,1.4660965555240153,0.910904782418357,-0.9140084989751144,0.6957237865442429,0.31325749246491247,-0.37504279642252203,0.9284159525935911,0.4232941057175861,-3.789397671580107,-4.574484260000164,-0.9480735691861322,0.02,0.3,-0.1,0.2,0.3
1753800508.4902859,0.1931104854657681,0.3997612506361225,0.20989406575250394,0.3866520571954726,-0.14702278928568607,1.4690185099891553,0.9121919727670705,-0.916408551622068,0.7012690716335788,0.30892568369123574,-0.514537054389075,1.2328891481428956,0.006742418621917268,-3.7623537230330544,-4.57311529998142,-0.9481777156353254,0.02,0.3,-0.1,0.2,0.3
1753800508.4983912,0.19248872054396213,0.3997158900260614,0.2092674001684982,0.3866659556442084,-0.15084325639358834,1.4719499554802198,0.9134803279803674,-0.9169121058965412,0.7035469178555038,0.3092052511912353,-0.5962051607454077,1.4343970395286658,-0.2822393855739791,-3.7171757807603956,-4.579133016867693,-0.948320810904112,0.02,0.3,-0.1,0.2,0.3
1753800508.506514,0.19186814174025585,0.399666592803403,0.20864030086586438,0.3866758159742214,-0.15465190522043273,1.4748668467341035,0.9148040255746246,-0.9140757184426573,0.7000539009320838,0.31768742262171995,-0.5150896271199139,1.3470132248934168,-0.16828504502424835,-3.656799601174235,-4.591360443381976,-0.948743790811154,0.02,0.3,-0.1,0.2,0.3
1753800508.6044714,0.1912488470512362,0.39961336091431726,0.20801281167407726,0.386681367043743,-0.15839455028348182,1.4776737534589244,0.9163004388624326,-0.8982348151317819,0.6736576139569836,0.3591391890739375,0.02933399175409296,0.43956281366744365,1.1203004450471368,-3.4986178502739445,-4.647491266515647,-0.9507702969181635,0.02,0.3,-0.1,0.2,0.3
